,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
63,Ciudad de México,24,93.38539951,99.11585736,26.67814293,39.99705286,5.439795126,4
64,Ciudad de México,3,92.39237374,99.55578081,20.90905936,40.65798104,5.367191001,4
65,Ciudad de México,4,91.84670578,99.71557124,29.45394044,37.89245223,10.6656188,4
66,Ciudad de México,5,93.25476115,98.86871495,30.03453104,36.60556569,7.73063757,4
67,Ciudad de México,6,92.47858972,99.47735642,26.55704541,37.9692796,8.259192332,4
68,Ciudad de México,7,90.63223393,99.68240153,26.04132863,40.8637197,6.615373917,4
69,Ciudad de México,8,91.4940432,99.52232743,29.64684298,44.85796763,5.791602028,4
70,Ciudad de México,9,90.13411927,98.98617769,27.22734187,35.9641105,8.239952382,4
71,Durango,1,80.90045048,83.01274254,27.87477091,31.00656841,19.4732932,1
72,Durango,2,89.75190631,95.67044551,21.29796471,30.16030189,12.42057566,1
73,Durango,3,87.35724681,94.68453043,27.41939999,28.6739149,16.85517545,1
74,Durango,4,93.37984748,98.63393678,24.24344117,37.17499981,7.525138412,1
75,Guanajuato,1,82.56843149,87.5384068,22.23812384,36.65814979,29.41868045,2
76,Guanajuato,10,81.91014693,96.89879991,18.83789254,33.90741596,27.03790768,2
77,Guanajuato,11,91.70299377,98.69943835,20.82958007,30.9857268,14.70697139,2
78,Guanajuato,12,91.10239354,99.40709697,23.01751141,34.52563696,11.44348902,2
79,Guanajuato,13,80.21402329,94.88851739,17.9816639,31.16361798,28.55282751,2
80,Guanajuato,14,83.35928088,94.69557965,19.34606753,34.34714114,27.48955769,2
81,Guanajuato,15,88.20039057,98.86156355,19.00557832,33.04148158,14.51679564,2
82,Guanajuato,2,84.73214786,91.76198384,28.42666532,35.13145373,24.35315947,2
83,Guanajuato,3,93.34308272,99.24597204,22.48782577,32.57451521,12.09426372,2
84,Guanajuato,4,86.66457352,92.3307169,16.02589065,35.06959707,22.08728029,2
85,Guanajuato,5,90.36330548,98.6822673,24.75000958,32.29636123,16.59666269,2
86,Guanajuato,6,91.90250463,98.95149306,20.70081958,30.22987456,14.62349592,2
87,Guanajuato,7,83.4211396,94.48764556,21.18382185,30.9366434,27.10950492,2
88,Guanajuato,8,87.49898633,97.65459575,17.50722798,34.21154591,19.94558565,2
89,Guanajuato,9,86.91193924,96.93045336,16.65751752,29.29693805,18.2955772,2
90,Guerrero,1,69.77908438,87.44594278,34.3024409,31.32123304,44.23599694,4
91,Guerrero,2,79.59401807,92.76650558,23.02751519,35.29777185,29.82156131,4
92,Guerrero,3,82.77291316,91.37656914,24.86486486,32.28684654,31.60053264,4
93,Guerrero,4,89.96006949,97.10026287,24.58032207,41.36582349,16.55931143,4
94,Guerrero,5,56.31799073,65.58206562,20.66064788,32.41559398,60.05288758,4
95,Guerrero,6,61.87538866,65.52325931,19.26349716,38.01027061,57.31061453,4
96,Guerrero,7,83.94452233,95.19126777,26.11619083,37.07190066,25.06400907,4
97,Guerrero,8,68.54327291,78.97166199,24.02701304,33.2969109,43.1385675,4
98,Guerrero,9,84.36231176,91.42819066,30.98246643,37.68024521,23.6982535,4
99,Hidalgo,1,67.06267167,75.61366217,15.4782287,23.3798251,47.28731033,5
100,Hidalgo,2,81.04288894,86.0743865,29.95099467,30.90545327,25.3147485,5
101,Hidalgo,3,83.63852452,91.70965754,33.91875132,31.0009684,20.48777349,5
102,Hidalgo,4,82.99217123,88.53515765,37.65202925,32.12131006,28.88697335,5
103,Hidalgo,5,86.83504558,94.31378228,28.41499037,29.93857269,15.22148368,5
104,Hidalgo,6,93.97758829,98.75526806,33.29208438,34.06710445,8.575177888,5
105,Hidalgo,7,92.31372198,97.65141505,30.85911161,32.67190731,10.32287003,5
106,Jalisco,1,87.07804814,95.28431687,24.72373892,30.28912302,23.69114972,1
107,Jalisco,10,94.969234,98.62239377,26.95862232,35.14672395,7.497659299,1
108,Jalisco,11,92.10390323,99.79118109,33.28355771,38.28557568,9.533285427,1
109,Jalisco,12,95.42428695,99.7495996,28.97501404,31.40115562,9.025870479,1
110,Jalisco,13,95.186003,99.71176699,27.29500913,33.26057276,9.164908712,1
111,Jalisco,14,92.50578943,99.73637416,26.70459333,38.20920519,10.06994127,1
112,Jalisco,15,87.86562331,98.69760748,32.09867482,32.50314805,24.44923293,1
113,Jalisco,16,91.92965377,98.63976852,30.9715859,34.63407159,12.26737599,1
114,Jalisco,17,89.78976635,98.68689332,34.8294755,32.91351641,20.27346928,1
115,Jalisco,18,84.75314979,97.34391041,21.33151626,31.63135791,24.31332357,1
116,Jalisco,19,87.13500419,98.67418243,24.42383979,33.72682381,22.39481388,1
117,Jalisco,2,89.74748608,97.53197218,29.08193764,35.25098415,24.20267307,1
118,Jalisco,20,92.74366036,98.44772703,35.73282621,32.00329053,15.80122806,1
119,Jalisco,3,90.44896601,98.73507261,35.17294941,31.03815587,26.56800901,1
120,Jalisco,4,89.17197452,94.70119895,29.17566526,36.55488947,10.74138671,1
121,Jalisco,5,92.16616534,98.51180819,24.20304211,33.12344889,15.16539458,1
122,Jalisco,6,93.72112309,97.3370717,26.97196304,33.96253735,7.731725852,1
123,Jalisco,7,93.63852498,99.21826845,35.82307425,33.57434277,11.05521747,1
124,Jalisco,8,92.79944018,98.74926923,25.38175624,41.21122469,5.24093659,1
125,Jalisco,9,92.75206506,99.793494,32.55918783,37.35736183,11.46024322,1
126,México,1,80.29239401,80.0899125,28.87492437,29.30184017,26.20687876,5
127,México,10,90.22628839,99.21722891,35.1839317,32.27540033,9.137378387,5
128,México,11,89.58665402,99.43381282,34.60036701,33.45980462,10.38103538,5
129,México,12,91.81020113,98.37296737,34.59079268,33.83431492,9.241733501,5
130,México,13,89.98236637,99.6008092,34.74454591,35.68051754,8.685239013,5
131,México,14,93.0149781,99.73772715,28.10635817,34.59503823,8.056565888,5
132,México,15,91.97866175,99.3779298,29.20625625,33.20100311,9.462040325,5
133,México,16,87.56162163,99.32133734,36.41820977,34.06509506,13.41623588,5
134,México,17,88.84419067,99.69936846,37.08004349,34.49260317,9.239600211,5
135,México,18,90.16016492,97.4096099,36.15178913,29.77719632,11.95636629,5
136,México,19,90.83463375,99.43028098,24.4474936,37.03081284,7.028877921,5
137,México,2,91.15987777,99.29060748,30.82268677,30.48121159,7.473170914,5
138,México,20,90.32174828,99.77670153,34.09447759,36.73805601,8.098007802,5
139,México,21,86.996337,95.33464724,34.4788848,30.16503424,11.68554242,5
140,México,22,92.13964803,99.40175749,31.47505971,34.10061567,8.846767826,5
141,México,23,85.57395659,95.76318512,33.20326396,26.76572098,12.67009492,5
142,México,24,89.82962386,99.68065532,29.98241728,35.06510739,10.55045428,5
143,México,25,85.95112466,99.0480145,43.08042139,33.30430115,14.12498923,5
144,México,26,88.26079074,96.40226115,35.81298667,28.24711176,13.73506811,5
145,México,27,91.63244312,99.02878018,29.10592558,28.99484014,7.524316131,5
146,México,28,90.89901041,98.68484673,35.48245872,29.04296812,10.87790289,5
147,México,29,89.11246669,99.68562625,34.61494603,38.17350933,9.954655028,5
